Timstamp,X,Y
2019.05.07.05.38.42.536,296,383
2019.05.07.05.38.42.556,296,383
2019.05.07.05.38.42.575,296,384
2019.05.07.05.38.42.595,296,385
2019.05.07.05.38.42.615,296,385
2019.05.07.05.38.42.636,296,387
2019.05.07.05.38.42.655,297,388
2019.05.07.05.38.42.676,297,388
2019.05.07.05.38.42.696,298,388
2019.05.07.05.38.42.716,298,388
2019.05.07.05.38.42.736,298,388
2019.05.07.05.38.42.756,298,389
2019.05.07.05.38.42.775,298,389
2019.05.07.05.38.42.794,298,389
2019.05.07.05.38.42.816,298,389
2019.05.07.05.38.42.836,298,389
2019.05.07.05.38.42.855,298,389
2019.05.07.05.38.42.876,298,389
2019.05.07.05.38.42.894,298,389
2019.05.07.05.38.42.916,298,389
2019.05.07.05.38.42.935,298,389
2019.05.07.05.38.42.955,298,389
2019.05.07.05.38.42.975,298,389
2019.05.07.05.38.42.995,298,389
2019.05.07.05.38.43.015,298,389
2019.05.07.05.38.43.035,298,389
2019.05.07.05.38.43.056,298,389
2019.05.07.05.38.43.075,298,389
2019.05.07.05.38.43.096,298,389
2019.05.07.05.38.43.115,298,389
2019.05.07.05.38.43.136,298,389
2019.05.07.05.38.43.156,298,389
2019.05.07.05.38.43.175,298,389
2019.05.07.05.38.43.195,298,389
2019.05.07.05.38.43.216,298,389
2019.05.07.05.38.43.234,298,389
2019.05.07.05.38.43.255,298,389
2019.05.07.05.38.43.276,298,389
2019.05.07.05.38.43.296,298,389
2019.05.07.05.38.43.315,298,389
2019.05.07.05.38.43.335,298,389
2019.05.07.05.38.43.355,298,389
2019.05.07.05.38.43.375,298,389
2019.05.07.05.38.43.395,298,389
2019.05.07.05.38.43.416,298,389
2019.05.07.05.38.43.436,298,389
2019.05.07.05.38.43.454,298,389
2019.05.07.05.38.43.475,298,389
2019.05.07.05.38.43.495,298,389
2019.05.07.05.38.43.515,298,389
2019.05.07.05.38.43.535,298,389
2019.05.07.05.38.43.555,298,389
2019.05.07.05.38.43.575,298,389
2019.05.07.05.38.43.595,298,389
2019.05.07.05.38.43.616,298,389
2019.05.07.05.38.43.635,298,389
2019.05.07.05.38.43.656,298,389
2019.05.07.05.38.43.676,298,389
2019.05.07.05.38.43.696,298,389
2019.05.07.05.38.43.715,298,389
2019.05.07.05.38.43.735,298,389
2019.05.07.05.38.43.755,298,389
2019.05.07.05.38.43.775,298,389
2019.05.07.05.38.43.796,298,389
2019.05.07.05.38.43.816,298,389
2019.05.07.05.38.43.835,298,389
2019.05.07.05.38.43.856,298,389
2019.05.07.05.38.43.876,298,389
2019.05.07.05.38.43.895,298,389
2019.05.07.05.38.43.916,298,389
2019.05.07.05.38.43.936,298,389
2019.05.07.05.38.43.954,298,389
2019.05.07.05.38.43.975,298,389
2019.05.07.05.38.43.996,298,389
2019.05.07.05.38.44.015,298,389
2019.05.07.05.38.44.035,298,389
2019.05.07.05.38.44.056,298,389
2019.05.07.05.38.44.075,298,389
2019.05.07.05.38.44.096,298,389
2019.05.07.05.38.44.115,298,389
2019.05.07.05.38.44.136,298,389
2019.05.07.05.38.44.155,298,389
2019.05.07.05.38.44.175,298,389
2019.05.07.05.38.44.196,298,389
2019.05.07.05.38.44.215,298,389
2019.05.07.05.38.44.235,298,389
2019.05.07.05.38.44.256,298,389
2019.05.07.05.38.44.276,298,389
2019.05.07.05.38.44.295,298,389
2019.05.07.05.38.44.315,298,389
2019.05.07.05.38.44.336,298,389
2019.05.07.05.38.44.355,298,389
2019.05.07.05.38.44.375,298,389
2019.05.07.05.38.44.395,298,389
2019.05.07.05.38.44.416,298,389
2019.05.07.05.38.44.436,298,389
2019.05.07.05.38.44.455,298,389
2019.05.07.05.38.44.476,298,389
2019.05.07.05.38.44.495,298,389
2019.05.07.05.38.44.515,298,389
2019.05.07.05.38.44.534,298,389
2019.05.07.05.38.44.554,298,389
2019.05.07.05.38.44.576,298,389
2019.05.07.05.38.44.596,298,389
2019.05.07.05.38.44.616,298,389
2019.05.07.05.38.44.636,298,389
2019.05.07.05.38.44.656,298,389
2019.05.07.05.38.44.675,298,389
2019.05.07.05.38.44.696,298,389
2019.05.07.05.38.44.714,298,389
2019.05.07.05.38.44.735,298,389
2019.05.07.05.38.44.755,298,389
2019.05.07.05.38.44.775,298,389
2019.05.07.05.38.44.795,298,389
2019.05.07.05.38.44.816,298,389
2019.05.07.05.38.44.836,256,285
2019.05.07.05.38.44.855,220,213
2019.05.07.05.38.44.875,191,152
2019.05.07.05.38.44.896,182,133
2019.05.07.05.38.44.915,179,128
2019.05.07.05.38.44.935,178,127
2019.05.07.05.38.44.955,177,127
2019.05.07.05.38.44.976,177,127
2019.05.07.05.38.44.995,175,127
2019.05.07.05.38.45.015,174,127
2019.05.07.05.38.45.036,174,127
2019.05.07.05.38.45.056,173,127
2019.05.07.05.38.45.075,172,127
2019.05.07.05.38.45.095,172,127
2019.05.07.05.38.45.115,172,127
2019.05.07.05.38.45.136,171,127
2019.05.07.05.38.45.156,170,127
2019.05.07.05.38.45.175,169,130
2019.05.07.05.38.45.195,169,133
2019.05.07.05.38.45.215,167,136
2019.05.07.05.38.45.234,166,139
2019.05.07.05.38.45.256,165,141
2019.05.07.05.38.45.276,164,144
