Timestamp,X,Y
2019.05.10.03.41.32.571,807,169
2019.05.10.03.41.32.590,807,169
2019.05.10.03.41.32.611,807,169
2019.05.10.03.41.32.632,807,169
2019.05.10.03.41.32.651,807,169
2019.05.10.03.41.32.670,807,169
2019.05.10.03.41.32.691,807,169
2019.05.10.03.41.32.710,807,169
2019.05.10.03.41.32.731,807,169
2019.05.10.03.41.32.750,807,169
2019.05.10.03.41.32.772,807,169
2019.05.10.03.41.32.791,807,169
2019.05.10.03.41.32.811,807,169
2019.05.10.03.41.32.831,807,169
2019.05.10.03.41.32.852,807,169
2019.05.10.03.41.32.870,807,169
2019.05.10.03.41.32.891,807,169
2019.05.10.03.41.32.911,807,169
2019.05.10.03.41.32.931,807,169
2019.05.10.03.41.32.950,807,169
2019.05.10.03.41.32.970,807,169
2019.05.10.03.41.32.990,807,169
2019.05.10.03.41.33.012,807,169
2019.05.10.03.41.33.032,807,169
2019.05.10.03.41.33.050,807,169
2019.05.10.03.41.33.070,807,169
2019.05.10.03.41.33.090,807,169
2019.05.10.03.41.33.111,807,169
2019.05.10.03.41.33.130,807,169
2019.05.10.03.41.33.151,807,169
2019.05.10.03.41.33.171,807,169
2019.05.10.03.41.33.190,807,169
2019.05.10.03.41.33.210,807,169
2019.05.10.03.41.33.232,807,169
2019.05.10.03.41.33.254,807,169
2019.05.10.03.41.33.272,807,169
2019.05.10.03.41.33.290,807,169
2019.05.10.03.41.33.310,807,169
2019.05.10.03.41.33.331,807,169
2019.05.10.03.41.33.351,807,169
2019.05.10.03.41.33.370,807,169
2019.05.10.03.41.33.390,807,169
2019.05.10.03.41.33.411,807,169
2019.05.10.03.41.33.432,807,169
2019.05.10.03.41.33.450,807,169
2019.05.10.03.41.33.471,807,169
2019.05.10.03.41.33.492,807,169
2019.05.10.03.41.33.510,807,169
2019.05.10.03.41.33.530,807,169
2019.05.10.03.41.33.551,807,169
2019.05.10.03.41.33.572,807,169
2019.05.10.03.41.33.591,807,169
2019.05.10.03.41.33.611,807,169
2019.05.10.03.41.33.630,807,169
2019.05.10.03.41.33.650,807,169
2019.05.10.03.41.33.670,807,169
2019.05.10.03.41.33.691,807,169
2019.05.10.03.41.33.711,807,169
2019.05.10.03.41.33.731,807,169
2019.05.10.03.41.33.750,807,169
2019.05.10.03.41.33.771,807,169
2019.05.10.03.41.33.791,807,169
2019.05.10.03.41.33.812,807,169
2019.05.10.03.41.33.830,807,169
2019.05.10.03.41.33.850,807,169
2019.05.10.03.41.33.871,807,169
2019.05.10.03.41.33.891,807,169
2019.05.10.03.41.33.910,807,169
2019.05.10.03.41.33.930,807,169
